@ NAME             %04s "CORR"
@ TYPE             %04s "CORR"
@ TITLE            %08s "no-title"
@ ORIGIN           %22s "MAD-X 5.02.00 Linux 64"
@ DATE             %08s "10/04/15"
@ TIME             %08s "10.48.50"
* NAME                           PX.OLD             PY.OLD      PX.CORRECTION      PY.CORRECTION 
$ %s                                %le                %le                %le                %le 
 "MCBV.19L2.B2"                       0   -1.243483741e-05                  0   -1.243483741e-05
 "MCBH.20L2.B2"                       0                  0                  0                  0
 "MCBV.21L2.B2"                       0                  0                  0                  0
 "MCBH.22L2.B2"                       0                  0                  0                  0
 "MCBV.23L2.B2"                       0   -5.618235096e-06                  0   -5.618235096e-06
 "MCBH.24L2.B2"                       0                  0                  0                  0
 "MCBV.25L2.B2"                       0    -1.08744055e-05                  0    -1.08744055e-05
 "MCBH.26L2.B2"                       0                  0                  0                  0
 "MCBV.27L2.B2"                       0                  0                  0                  0
 "MCBH.28L2.B2"                       0                  0                  0                  0
 "MCBV.29L2.B2"                       0                  0                  0                  0
 "MCBH.30L2.B2"                       0                  0                  0                  0
 "MCBV.31L2.B2"                       0   -1.089775469e-05                  0   -1.089775469e-05
 "MCBH.32L2.B2"                       0                  0                  0                  0
 "MCBV.33L2.B2"                       0                  0                  0                  0
 "MCBH.34L2.B2"                       0                  0                  0                  0
 "MCBV.33R1.B2"                       0   -1.647699391e-05                  0   -1.647699391e-05
 "MCBH.32R1.B2"                       0                  0                  0                  0
 "MCBV.31R1.B2"                       0   -1.154160895e-05                  0   -1.154160895e-05
 "MCBH.30R1.B2"                       0                  0                  0                  0
 "MCBV.29R1.B2"                       0                  0                  0                  0
 "MCBH.28R1.B2"                       0                  0                  0                  0
 "MCBV.27R1.B2"                       0    1.350949332e-05                  0    1.350949332e-05
 "MCBH.26R1.B2"                       0                  0                  0                  0
 "MCBV.25R1.B2"                       0   -6.930017378e-06                  0   -6.930017378e-06
 "MCBH.24R1.B2"                       0                  0                  0                  0
 "MCBV.23R1.B2"                       0    1.971575618e-05                  0    1.971575618e-05
 "MCBH.22R1.B2"                       0                  0                  0                  0
 "MCBV.21R1.B2"                       0    2.158549428e-05                  0    2.158549428e-05
 "MCBH.20R1.B2"                       0                  0                  0                  0
 "MCBV.19R1.B2"                       0    3.691942431e-06                  0    3.691942431e-06
 "MCBH.18R1.B2"                       0                  0                  0                  0
 "MCBV.17R1.B2"                       0                  0                  0                  0
 "MCBH.16R1.B2"                       0                  0                  0                  0
 "MCBV.15R1.B2"                       0    2.363186143e-05                  0    2.363186143e-05
 "MCBH.14R1.B2"                       0                  0                  0                  0
 "MCBV.13R1.B2"                       0   -1.096060697e-05                  0   -1.096060697e-05
 "MCBH.12R1.B2"                       0                  0                  0                  0
 "MCBV.11R1.B2"                       0    1.081412984e-05                  0    1.081412984e-05
 "MCBCH.10R1.B2"                      0                  0                  0                  0
 "MCBCV.9R1.B2"                       0                  0                  0                  0
 "MCBCH.8R1.B2"                       0                  0                  0                  0
 "MCBCV.7R1.B2"                       0                  0                  0                  0
 "MCBCH.6R1.B2"                       0                  0                  0                  0
 "MCBCV.5R1.B2"                       0                  0                  0                  0
 "MCBYH.B4R1.B2"                      0                  0                  0                  0
 "MCBYV.4R1.B2"                       0                  0                  0                  0
 "MCBYH.A4R1.B2"                      0                  0                  0                  0
 "MCBXV.3R1"                          0                  0                  0                  0
 "MCBXH.3R1"                          0                  0                  0                  0
 "MCBXV.2R1"                          0                  0                  0                  0
 "MCBXH.2R1"                          0                  0                  0                  0
 "MCBXV.1R1"                          0                  0                  0                  0
 "MCBXH.1R1"                          0                  0                  0                  0
 "MCBXV.1L1"                          0                  0                  0                  0
 "MCBXH.1L1"                          0                  0                  0                  0
 "MCBXV.2L1"                          0                  0                  0                  0
 "MCBXH.2L1"                          0                  0                  0                  0
 "MCBXV.3L1"                          0                  0                  0                  0
 "MCBXH.3L1"                          0                  0                  0                  0
 "MCBYV.A4L1.B2"                      0                  0                  0                  0
 "MCBYH.4L1.B2"                       0                  0                  0                  0
 "MCBYV.B4L1.B2"                      0                  0                  0                  0
 "MCBCH.5L1.B2"                       0                  0                  0                  0
