@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB2"
@ PARTICLE         %06s "PROTON"
@ MASS             %le         0.938272046
@ CHARGE           %le                   1
@ ENERGY           %le                 450
@ PC               %le         449.9990218
@ GAMMA            %le         479.6050377
@ KBUNCH           %le                   1
@ BCURRENT         %le     0.0002071982211
@ SIGE             %le             0.00045
@ SIGT             %le                   0
@ NPART            %le            1.15e+11
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le          26658.8832
@ ALFA             %le     0.0003159132216
@ ORBIT5           %le                  -0
@ GAMMATR          %le         56.26212079
@ Q1               %le         64.28098822
@ Q2               %le         59.31124629
@ DQ1              %le         2.185455855
@ DQ2              %le          1.91804935
@ DXMAX            %le         2.973472253
@ DYMAX            %le        0.1573220834
@ XCOMAX           %le      0.008489296392
@ YCOMAX           %le      0.008484768301
@ BETXMAX          %le         585.9370687
@ BETYMAX          %le         611.4989674
@ XCORMS           %le     0.0009508740628
@ YCORMS           %le     0.0009565416608
@ DXRMS            %le         1.349027011
@ DYRMS            %le       0.03580767467
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %08s "no-title"
@ ORIGIN           %22s "MAD-X 5.02.00 Linux 64"
@ DATE             %08s "11/11/14"
@ TIME             %08s "14.16.13"
* NAME                                S               BETX               ALFX               BETY               ALFY                MUX                MUY                 DX                 DY                DPX                DPY                  X                  Y                K1L               K1SL                K2L                K3L                K4L                 WX                 WY               PHIX               PHIY               DMUX               DMUY KEYWORD                           DBX                DBY                R11                R12                R21                R22 
$ %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le %s                                %le                %le                %le                %le                %le                %le 
 "MQWB.4L3.B2"                   32.235        29.53120013       0.4592490388        386.8990781       -1.107588978      0.09370245455        0.017238558       0.7868653335     -0.05230394031      0.01324467928   -0.0001783510823    -7.98398976e-06    2.030352667e-05                  0                  0                  0                  0                  0        3.294027758        12.06064697      -0.1330993694       0.2568840153      -0.1214920928     -0.05461141391 "MARKER"                             0                  0       0.2037800398         11.1814813   -0.0003135561928      0.03441841141
 "MQWB.4L3.B2..2"                33.271        28.62364607       0.4474031626        389.2001806        -1.53009635       0.0993748802      0.01766346613       0.8005859515     -0.05248914578      0.01238784537   -0.0002345278539   -7.114285286e-06    2.073726703e-05     0.001070259269                  0                  0                  0                  0        3.294996202        12.05293477      -0.1196901108       0.2578167376      -0.1402503946     -0.05479971789 "MULTIPOLE"                          0                  0       0.2152348453        11.00635921   -4.601523753e-05       0.0465229049
 "MQWA.C4L3.B2..1"               34.999        27.20262221       0.3224766434        394.5138455      -0.7839304371       0.1092370843      0.01836532153       0.8219906845     -0.05289517172      0.01397343032   -0.0001324918386   -5.650501303e-06    2.149907751e-05    -0.001928954994                  0                  0                  0                  0        3.299502567        11.97714649     -0.09630439123       0.2594583112      -0.1753889221     -0.05504416205 "MULTIPOLE"                          0                  0       0.1944866317        10.71496287   -0.0005110699784      0.02593371238
 "MQWA.C4L3.B2"                  36.035        26.57800925       0.2804316207        396.1425418      -0.7881702645       0.1153707597      0.01878240552        0.836466292     -0.05303284704      0.01397343032   -0.0001324918386   -4.784200499e-06    2.191284737e-05                  0                  0                  0                  0                  0        3.302186968        11.97965424     -0.07999120508        0.260399683          -0.204855     -0.05556659281 "MARKER"                             0                  0       0.1939571632        10.54089057   -0.0005110699784      0.02646318088
 "MQWA.C4L3.B2..2"               37.071        26.04051479       0.1881555803        397.7800417     -0.02510943538       0.1216398742      0.01919777363       0.8509418995     -0.05317052235      0.01561486064   -2.992433253e-05   -3.917899695e-06    2.232661722e-05    -0.001928954994                  0                  0                  0                  0        3.302405793        11.90741627      -0.0652228458       0.2613535585      -0.2296914204     -0.05564320221 "MULTIPOLE"                          0                  0       0.1734284371        10.36791582    -0.000897678183     0.006993383996
 "MQWA.D4L3.B2..1"               38.799        25.50897636      0.07024261352        397.8743453       0.7380243854       0.1323185767      0.01988908036       0.8779229468     -0.05322284733      0.01730833205    7.274308854e-05   -2.486009289e-06    2.294234626e-05    -0.001928954994                  0                  0                  0                  0        3.299810515        11.86598472     -0.04042707845       0.2627834894      -0.2736438535     -0.05571203153 "MULTIPOLE"                          0                  0       0.1524276341        10.08299686    -0.001208189414     -0.01090504899
 "MQWA.D4L3.B2"                  39.835        25.40571649      0.02942907263        396.3493257       0.7340022903       0.1387972726      0.02030429088       0.8958535253     -0.05314780879      0.01730833205    7.274308854e-05   -1.632505947e-06    2.326565073e-05                  0                  0                  0                  0                  0        3.291584987        11.86773067     -0.02355435468       0.2635082007      -0.3074987851     -0.05613572474 "MARKER"                             0                  0       0.1511759499        9.915080943    -0.001208189414    -0.009653364752
 "MQWA.D4L3.B2..2"               40.871        25.38702312     -0.06035480693        394.8326528        1.491593481       0.1452915197      0.02072109768       0.9137841038     -0.05307277026      0.01907097764    0.0001751210108   -7.790026051e-07     2.35889552e-05    -0.001928954994                  0                  0                  0                  0        3.288060119        11.82124192    -0.008455998509       0.2643461649      -0.3352309686     -0.05612110748 "MULTIPOLE"                          0                  0       0.1311174528         9.74975884    -0.001444905647     -0.02720849858
 "TCSG.4L3.B2"                   42.855        25.78212572      -0.1387896479        388.9461598        1.475388883       0.1576462369      0.02152687007       0.9516192919     -0.05272585905      0.01907097764    0.0001751210108    8.525245275e-07    2.411782601e-05                  0                  0                  0                  0                  0        3.264692662        11.80630442      0.02377778947       0.2655693553      -0.4002740686     -0.05683900651 "RCOLLIMATOR"                        0                  0         0.12825076        9.441327671    -0.001444905647     -0.02434180578
 "MQWA.E4L3.B2..1"               46.839        27.51549069      -0.3493680496        377.3199029        2.170682673       0.1815421926      0.02318205944        1.027594791     -0.05202923895       0.0210531632    0.0002754840181     4.12873627e-06    2.517983272e-05    -0.001928954994                  0                  0                  0                  0        3.249043879         11.7811397      0.07924424336       0.2685041077      -0.4975540635     -0.05640906234 "MULTIPOLE"                          0                  0       0.1054107764        8.856332867    -0.001612389056     -0.03566878231
