@ NAME             %04s "CORR"
@ TYPE             %04s "CORR"
@ TITLE            %08s "no-title"
@ ORIGIN           %22s "MAD-X 5.02.00 Linux 64"
@ DATE             %08s "10/04/15"
@ TIME             %08s "10.48.50"
* NAME                           PX.OLD             PY.OLD      PX.CORRECTION      PY.CORRECTION 
$ %s                                %le                %le                %le                %le 
 "MCBV.19L2.B2"                       0                  0                  0                  0
 "MCBH.20L2.B2"         1.084954944e-05                  0    1.084954944e-05                  0
 "MCBV.21L2.B2"                       0                  0                  0                  0
 "MCBH.22L2.B2"         5.366696045e-06                  0    5.366696045e-06                  0
 "MCBV.23L2.B2"                       0                  0                  0                  0
 "MCBH.24L2.B2"         1.461388264e-05                  0    1.461388264e-05                  0
 "MCBV.25L2.B2"                       0                  0                  0                  0
 "MCBH.26L2.B2"                       0                  0                  0                  0
 "MCBV.27L2.B2"                       0                  0                  0                  0
 "MCBH.28L2.B2"         1.091765799e-05                  0    1.091765799e-05                  0
 "MCBV.29L2.B2"                       0                  0                  0                  0
 "MCBH.30L2.B2"         7.794341072e-06                  0    7.794341072e-06                  0
 "MCBV.31L2.B2"                       0                  0                  0                  0
 "MCBH.32L2.B2"         7.432118524e-06                  0    7.432118524e-06                  0
 "MCBV.33L2.B2"                       0                  0                  0                  0
 "MCBH.34L2.B2"                       0                  0                  0                  0
 "MCBV.33R1.B2"                       0                  0                  0                  0
 "MCBH.32R1.B2"                       0                  0                  0                  0
 "MCBV.31R1.B2"                       0                  0                  0                  0
 "MCBH.30R1.B2"        -7.429452147e-06                  0   -7.429452147e-06                  0
 "MCBV.29R1.B2"                       0                  0                  0                  0
 "MCBH.28R1.B2"                       0                  0                  0                  0
 "MCBV.27R1.B2"                       0                  0                  0                  0
 "MCBH.26R1.B2"                       0                  0                  0                  0
 "MCBV.25R1.B2"                       0                  0                  0                  0
 "MCBH.24R1.B2"                       0                  0                  0                  0
 "MCBV.23R1.B2"                       0                  0                  0                  0
 "MCBH.22R1.B2"                       0                  0                  0                  0
 "MCBV.21R1.B2"                       0                  0                  0                  0
 "MCBH.20R1.B2"        -5.668438505e-06                  0   -5.668438505e-06                  0
 "MCBV.19R1.B2"                       0                  0                  0                  0
 "MCBH.18R1.B2"        -1.265599951e-05                  0   -1.265599951e-05                  0
 "MCBV.17R1.B2"                       0                  0                  0                  0
 "MCBH.16R1.B2"        -9.159067646e-06                  0   -9.159067646e-06                  0
 "MCBV.15R1.B2"                       0                  0                  0                  0
 "MCBH.14R1.B2"        -6.315828767e-06                  0   -6.315828767e-06                  0
 "MCBV.13R1.B2"                       0                  0                  0                  0
 "MCBH.12R1.B2"                       0                  0                  0                  0
 "MCBV.11R1.B2"                       0                  0                  0                  0
 "MCBCH.10R1.B2"                      0                  0                  0                  0
 "MCBCV.9R1.B2"                       0                  0                  0                  0
 "MCBCH.8R1.B2"                       0                  0                  0                  0
 "MCBCV.7R1.B2"                       0                  0                  0                  0
 "MCBCH.6R1.B2"                       0                  0                  0                  0
 "MCBCV.5R1.B2"                       0                  0                  0                  0
 "MCBYH.B4R1.B2"                      0                  0                  0                  0
 "MCBYV.4R1.B2"                       0                  0                  0                  0
 "MCBYH.A4R1.B2"                      0                  0                  0                  0
 "MCBXV.3R1"                          0                  0                  0                  0
 "MCBXH.3R1"                          0                  0                  0                  0
 "MCBXV.2R1"                          0                  0                  0                  0
 "MCBXH.2R1"                          0                  0                  0                  0
 "MCBXV.1R1"                          0                  0                  0                  0
 "MCBXH.1R1"                          0                  0                  0                  0
 "MCBXV.1L1"                          0                  0                  0                  0
 "MCBXH.1L1"                          0                  0                  0                  0
 "MCBXV.2L1"                          0                  0                  0                  0
 "MCBXH.2L1"                          0                  0                  0                  0
 "MCBXV.3L1"                          0                  0                  0                  0
 "MCBXH.3L1"                          0                  0                  0                  0
 "MCBYV.A4L1.B2"                      0                  0                  0                  0
 "MCBYH.4L1.B2"                       0                  0                  0                  0
 "MCBYV.B4L1.B2"                      0                  0                  0                  0
 "MCBCH.5L1.B2"                       0                  0                  0                  0
 "MCBCV.6L1.B2"                       0                  0                  0                  0
 "MCBCH.7L1.B2"                       0                  0                  0                  0
 "MCBCV.8L1.B2"                       0                  0                  0                  0
 "MCBCH.9L1.B2"                       0                  0                  0                  0
 "MCBCV.10L1.B2"                      0                  0                  0                  0
 "MCBH.11L1.B2"        -5.097633693e-06                  0   -5.097633693e-06                  0
 "MCBV.12L1.B2"                       0                  0                  0                  0
 "MCBH.13L1.B2"         4.441160709e-06                  0    4.441160709e-06                  0
 "MCBV.14L1.B2"                       0                  0                  0                  0
 "MCBH.15L1.B2"        -3.556370037e-06                  0   -3.556370037e-06                  0
 "MCBV.16L1.B2"                       0                  0                  0                  0
 "MCBH.17L1.B2"                       0                  0                  0                  0
 "MCBV.18L1.B2"                       0                  0                  0                  0
 "MCBH.19L1.B2"        -4.342663102e-06                  0   -4.342663102e-06                  0
 "MCBV.20L1.B2"                       0                  0                  0                  0
 "MCBH.21L1.B2"        -7.929992396e-06                  0   -7.929992396e-06                  0
 "MCBV.22L1.B2"                       0                  0                  0                  0
 "MCBH.23L1.B2"         1.602591411e-05                  0    1.602591411e-05                  0
 "MCBV.24L1.B2"                       0                  0                  0                  0
 "MCBH.25L1.B2"        -4.967790097e-06                  0   -4.967790097e-06                  0
 "MCBV.26L1.B2"                       0                  0                  0                  0
 "MCBH.27L1.B2"         1.420018612e-06                  0    1.420018612e-06                  0
 "MCBV.28L1.B2"                       0                  0                  0                  0
 "MCBH.29L1.B2"                       0                  0                  0                  0
 "MCBV.30L1.B2"                       0                  0                  0                  0
 "MCBH.31L1.B2"                       0                  0                  0                  0
 "MCBV.32L1.B2"                       0                  0                  0                  0
 "MCBH.33L1.B2"        -6.688629277e-06                  0   -6.688629277e-06                  0
 "MCBV.34L1.B2"                       0                  0                  0                  0
 "MCBH.33R8.B2"                       0                  0                  0                  0
 "MCBV.32R8.B2"                       0                  0                  0                  0
 "MCBH.31R8.B2"                       0                  0                  0                  0
 "MCBV.30R8.B2"                       0                  0                  0                  0
 "MCBH.29R8.B2"                       0                  0                  0                  0
 "MCBV.28R8.B2"                       0                  0                  0                  0
 "MCBH.27R8.B2"         2.014688216e-06                  0    2.014688216e-06                  0
 "MCBV.26R8.B2"                       0                  0                  0                  0
 "MCBH.25R8.B2"                       0                  0                  0                  0
 "MCBV.24R8.B2"                       0                  0                  0                  0
 "MCBH.23R8.B2"        -1.508755027e-06                  0   -1.508755027e-06                  0
 "MCBV.22R8.B2"                       0                  0                  0                  0
 "MCBH.21R8.B2"                       0                  0                  0                  0
 "MCBV.20R8.B2"                       0                  0                  0                  0
 "MCBH.19R8.B2"         4.555900581e-06                  0    4.555900581e-06                  0
 "MCBV.18R8.B2"                       0                  0                  0                  0
 "MCBH.17R8.B2"         5.035582464e-06                  0    5.035582464e-06                  0
 "MCBV.16R8.B2"                       0                  0                  0                  0
 "MCBH.15R8.B2"         -2.93416623e-06                  0    -2.93416623e-06                  0
 "MCBV.14R8.B2"                       0                  0                  0                  0
 "MCBH.13R8.B2"        -4.954451229e-06                  0   -4.954451229e-06                  0
 "MCBV.12R8.B2"                       0                  0                  0                  0
 "MCBH.11R8.B2"         5.225074477e-06                  0    5.225074477e-06                  0
 "MCBCV.10R8.B2"                      0                  0                  0                  0
 "MCBCH.9R8.B2"                       0                  0                  0                  0
 "MCBCV.8R8.B2"                       0                  0                  0                  0
 "MCBCH.7R8.B2"                       0                  0                  0                  0
 "MCBCV.6R8.B2"                       0                  0                  0                  0
 "MCBYH.B5R8.B2"                      0                  0                  0                  0
 "MCBYV.5R8.B2"                       0                  0                  0                  0
 "MCBYH.A5R8.B2"                      0                  0                  0                  0
 "MCBYV.B4R8.B2"                      0                  0                  0                  0
 "MCBYH.4R8.B2"                       0                  0                  0                  0
 "MCBYV.A4R8.B2"                      0                  0                  0                  0
 "MCBXV.3R8"                          0                  0                  0                  0
 "MCBXH.3R8"                          0                  0                  0                  0
 "MCBXV.2R8"                          0                  0                  0                  0
 "MCBXH.2R8"                          0                  0                  0                  0
 "MCBXV.1R8"                          0                  0                  0                  0
 "MCBXH.1R8"                          0                  0                  0                  0
 "MBXWS.1R8"                          0                  0                  0                  0
 "MBLW.1R8"                           0                  0                  0                  0
 "MBXWH.1L8"                          0                  0                  0                  0
 "MBXWS.1L8"                          0                  0                  0                  0
 "MCBXV.1L8"                          0                  0                  0                  0
 "MCBXH.1L8"                          0                  0                  0                  0
 "MCBXV.2L8"                          0                  0                  0                  0
 "MCBXH.2L8"                          0                  0                  0                  0
 "MCBXV.3L8"                          0                  0                  0                  0
 "MCBXH.3L8"                          0                  0                  0                  0
 "MCBYH.A4L8.B2"                      0                  0                  0                  0
 "MCBYV.4L8.B2"                       0                  0                  0                  0
 "MCBYH.B4L8.B2"                      0                  0                  0                  0
 "MCBCV.A5L8.B2"                      0                  0                  0                  0
 "MCBCH.5L8.B2"                       0                  0                  0                  0
 "MCBCV.B5L8.B2"                      0                  0                  0                  0
 "MCBCH.6L8.B2"                       0                  0                  0                  0
 "MCBCV.7L8.B2"                       0                  0                  0                  0
 "MCBCH.8L8.B2"        -2.000207081e-06                  0   -2.000207081e-06                  0
 "MCBCV.9L8.B2"                       0                  0                  0                  0
 "MCBCH.10L8.B2"                      0                  0                  0                  0
 "MCBV.11L8.B2"                       0                  0                  0                  0
 "MCBH.12L8.B2"                       0                  0                  0                  0
 "MCBV.13L8.B2"                       0                  0                  0                  0
 "MCBH.14L8.B2"                       0                  0                  0                  0
 "MCBV.15L8.B2"                       0                  0                  0                  0
 "MCBH.16L8.B2"         -5.82768349e-06                  0    -5.82768349e-06                  0
 "MCBV.17L8.B2"                       0                  0                  0                  0
 "MCBH.18L8.B2"         1.868910389e-06                  0    1.868910389e-06                  0
 "MCBV.19L8.B2"                       0                  0                  0                  0
 "MCBH.20L8.B2"                       0                  0                  0                  0
 "MCBV.21L8.B2"                       0                  0                  0                  0
 "MCBH.22L8.B2"         6.031715777e-06                  0    6.031715777e-06                  0
 "MCBV.23L8.B2"                       0                  0                  0                  0
 "MCBH.24L8.B2"        -1.138719916e-05                  0   -1.138719916e-05                  0
 "MCBV.25L8.B2"                       0                  0                  0                  0
 "MCBH.26L8.B2"         2.317039855e-05                  0    2.317039855e-05                  0
 "MCBV.27L8.B2"                       0                  0                  0                  0
 "MCBH.28L8.B2"                       0                  0                  0                  0
 "MCBV.29L8.B2"                       0                  0                  0                  0
 "MCBH.30L8.B2"          6.25783205e-06                  0     6.25783205e-06                  0
 "MCBV.31L8.B2"                       0                  0                  0                  0
 "MCBH.32L8.B2"        -3.135182429e-06                  0   -3.135182429e-06                  0
 "MCBV.33L8.B2"                       0                  0                  0                  0
 "MCBH.34L8.B2"         4.055884667e-06                  0    4.055884667e-06                  0
 "MCBV.33R7.B2"                       0                  0                  0                  0
 "MCBH.32R7.B2"          2.46383599e-06                  0     2.46383599e-06                  0
 "MCBV.31R7.B2"                       0                  0                  0                  0
 "MCBH.30R7.B2"        -2.746884013e-06                  0   -2.746884013e-06                  0
 "MCBV.29R7.B2"                       0                  0                  0                  0
 "MCBH.28R7.B2"        -7.716987049e-06                  0   -7.716987049e-06                  0
 "MCBV.27R7.B2"                       0                  0                  0                  0
 "MCBH.26R7.B2"         2.754394896e-06                  0    2.754394896e-06                  0
 "MCBV.25R7.B2"                       0                  0                  0                  0
 "MCBH.24R7.B2"         1.348828804e-05                  0    1.348828804e-05                  0
 "MCBV.23R7.B2"                       0                  0                  0                  0
